geoid,geoid20,year,denom_total_pop,american_indian_native_count,american_indian_native_pct,asian_count,asian_pct,black_count,black_pct,latino_count,latino_pct,native_hawaiian_other_count,native_hawaiian_other_pct,other_race_count,other_race_pct,pop_two_or_more_count,pop_two_or_more_pct,white_count,white_pct
1400000US06037120108,6037120108,2020,4592,0,0,438,9.5383272,51,1.1106272,3647,79.420731,0,0,20,0.43554008,17,0.37020907,419,9.1245642
1400000US06037120300,6037120300,2020,5066,0,0,1285,25.365179,24,0.47374654,2781,54.895382,0,0,21,0.41452822,91,1.796289,864,17.054876
1400000US06037120400,6037120400,2020,6533,0,0,1215,18.597887,292,4.4696159,3647,55.824276,0,0,102,1.5613041,0,0,1277,19.546915
1400000US06037121010,6037121010,2020,4737,0,0,442,9.3308001,23,0.48553938,2746,57.969177,0,0,4,0.084441632,0,0,1522,32.130039
1400000US06037121020,6037121020,2020,3701,0,0,373,10.078357,79,2.1345582,2313,62.496624,0,0,0,0,104,2.8100514,832,22.480412
1400000US06037121101,6037121101,2020,3128,0,0,255,8.152174,24,0.76726341,2220,70.97187,0,0,65,2.0780051,37,1.1828644,527,16.847826
1400000US06037121102,6037121102,2020,2247,0,0,123,5.4739652,39,1.7356476,1126,50.111259,0,0,0,0,35,1.5576324,924,41.121494
1400000US06037121210,6037121210,2020,3077,0,0,382,12.41469,38,1.2349691,2222,72.213196,11,0.35749108,64,2.0799479,95,3.0874228,265,8.6122847
1400000US06037121221,6037121221,2020,2379,0,0,89,3.7410676,33,1.3871374,1930,81.126526,0,0,36,1.5132408,4,0.16813788,287,12.063892
1400000US06037121222,6037121222,2020,4688,5,0.10665529,147,3.1356654,31,0.66126281,4007,85.473549,0,0,0,0,34,0.72525597,464,9.8976107
1400000US06037121600,6037121600,2020,2838,0,0,738,26.004229,21,0.73995769,874,30.796335,0,0,0,0,80,2.8188865,1125,39.640591
1400000US06037121801,6037121801,2020,3165,0,0,99,3.1279621,77,2.4328594,2479,78.325432,0,0,17,0.53712481,25,0.7898894,468,14.78673
1400000US06037121802,6037121802,2020,3088,0,0,171,5.5375648,227,7.3510361,1954,63.277203,0,0,0,0,32,1.0362694,704,22.797928
1400000US06037121900,6037121900,2020,3686,0,0,145,3.9338036,35,0.94953877,3005,81.524689,0,0,0,0,0,0,501,13.591969
1400000US06037122000,6037122000,2020,5390,0,0,552,10.241187,102,1.8923934,2300,42.671616,0,0,0,0,151,2.8014843,2285,42.393322
1400000US06037122120,6037122120,2020,4772,5,0.10477787,17,0.35624477,164,3.4367142,3816,79.966469,0,0,0,0,214,4.4844928,556,11.651299
1400000US06037122121,6037122121,2020,2909,8,0.27500859,141,4.8470263,181,6.2220693,2298,78.996216,0,0,0,0,27,0.92815399,254,8.7315226
1400000US06037122122,6037122122,2020,2644,0,0,21,0.79425114,0,0,2519,95.272316,0,0,0,0,0,0,104,3.9334342
1400000US06037122200,6037122200,2020,3542,0,0,110,3.1055901,12,0.33879164,2640,74.534164,0,0,0,0,13,0.36702427,767,21.654432
1400000US06037122410,6037122410,2020,3471,0,0,195,5.6179776,104,2.9962547,2803,80.754829,0,0,0,0,38,1.0947853,331,9.5361567
